"ID","name","date","link","text","score","exclam"
28,NA,"9/15/2016","/KimKardashian/status/776494485408714752","You're so professional @steph_shep So responsible & thanks for never drinking on the job!pic.twitter.com/njZ2wpAScN",0,1
29,NA,"9/15/2016","/KimKardashian/status/776493303357464577","Seriously @steph_shep thanks for always having my back and eating all my left overs so they don't go to waste!pic.twitter.com/KdJvcGX2QA",-1,1
30,NA,"9/15/2016","/KimKardashian/status/776491734868041728","Happy Birthday @steph_shep I love this pic of us!pic.twitter.com/PjudShdfOu",2,1
31,NA,"9/14/2016","/KimKardashian/status/776281830114852864","Thank you @riccardotisci17 LOVE this @givenchyofficial couture gown for the Harper's Party!pic.twitter.com/iVrQG3utAk",2,1
32,"Kanye","9/14/2016","/KimKardashian/status/776243652561600512","Gonna live stream backstage at Kanye's concert! Log in",0,1
33,NA,"9/14/2016","/KimKardashian/status/776052590320709633","I def will live stream today for the 1 year anniversary of my app!",0,1
34,"Kim","9/13/2016","/KimKardashian/status/775898158031306752","Have you guys used the new presidential Kimojis? They are free! Just update!pic.twitter.com/CQ39T4IXp4",1,2
35,NA,"9/13/2016","/KimKardashian/status/775895388863758340","Happy Birthday to one of the most genuine funniest guys I know! I love you @olivier_rousteingpic.twitter.com/0s2ZVGrbTJ",3,1
36,"Kim","9/13/2016","/KimKardashian/status/775728550389350401","NEW PRESIDENTIAL KIMOJI ARE HERE! #KIMOJI http://apple.co/28YijmF pic.twitter.com/FEVQFpw7YL",0,1
37,NA,"9/12/2016","/KimKardashian/status/775385578900754432","COMING SOON! @wonderlandmagpic.twitter.com/E9sgSb7EZl",0,1
38,"Kim","9/12/2016","/KimKardashian/status/775380272397312001","Happy National Video Game Day! #KimKardashianHollywoodpic.twitter.com/EVFGBDOcNh",1,1
39,"Kim","9/11/2016","/KimKardashian/status/775148249594335232","It's a Kimoji! LOLhttps://twitter.com/alliedougherty_/status/775147184186535936 …",0,1
40,NA,"9/11/2016","/KimKardashian/status/775143035936071680","a girl!!!!!!!!!! how cute is she going to be!!!!!!!",1,17
41,NA,"9/11/2016","/KimKardashian/status/775141192891785221","Congrats @robkardashian & @BLACCHYNA on your baby girl!!!!!! pic.twitter.com/HdTw2zsvFB",0,6
42,NA,"9/11/2016","/KimKardashian/status/775139444202627072","I love seeing @robkardashian & @ScottDisick together!",1,1
43,NA,"9/11/2016","/KimKardashian/status/775137745433923584","Watching #RobAndChyna !!!! Tune into E! now!",0,6
44,NA,"9/11/2016","/KimKardashian/status/775090008046862336","Rob & Chyna are revealing the if its a boy or a girl tonight! What do you guys think they are having???",0,1
45,"Kim","9/11/2016","/KimKardashian/status/775066723783438336","YEEZY SEASON 4 LOOKBOOKhttps://www.kimkardashianwest.com/style/1372-kim-kardashian-yeezy-season-4-lookbook/ …",0,0
45,"Kanye","9/11/2016","/KimKardashian/status/775066723783438336","YEEZY SEASON 4 LOOKBOOKhttps://www.kimkardashianwest.com/style/1372-kim-kardashian-yeezy-season-4-lookbook/ …",0,0
46,NA,"9/11/2016","/KimKardashian/status/775061373067882496","I'm so excited to watch Rob & Chyna tonight!!! I'm gonna live tweet!!!! Watch with me!",1,8
47,NA,"9/11/2016","/KimKardashian/status/774943559883616256","@emseffect And maybe spend less time hating others and loving yourself. Life is good. Be happy & blessed, in all sincerity.",3,0
48,NA,"9/11/2016","/KimKardashian/status/774942814023118848","Bc she has a passion 4 fashion &we've given her the tools 2 explore that? Spending time w dad @work isn't bad eitherhttps://twitter.com/emseffect/status/774926666229481474 …",1,0
49,NA,"9/11/2016","/KimKardashian/status/774940025263910912","Life is so precious & I pray for everyone who was affected by this awful tragedy. #NeverForget911pic.twitter.com/7n8KKhWeKc",-1,0
50,NA,"9/10/2016","/KimKardashian/status/774745716422041601","We make all of her clothes so she picks the fabrics at fabric stores! https://twitter.com/misspopc/status/774744488816156672 …",0,1
51,"Kanye","9/10/2016","/KimKardashian/status/774726705122508800","Love this look! Clear thigh high boots  YEEZY SEASON 4pic.twitter.com/U0HJKqDslK",2,1
52,"Kanye","9/7/2016","/KimKardashian/status/773649542759780352","Yeezy Season 4pic.twitter.com/J01kpk7bzZ",0,0
53,NA,"9/7/2016","/KimKardashian/status/773577030222901248","Silver Surferpic.twitter.com/kNCNLAgFW4",0,0
54,"Kim","9/7/2016","/KimKardashian/status/773537060988870656","MY FAVE ALL-YEEZY OUTFITShttps://www.kimkardashianwest.com/style/1339-kim-kardashian-yeezy-outfits/ …",1,0
54,"Kanye","9/7/2016","/KimKardashian/status/773537060988870656","MY FAVE ALL-YEEZY OUTFITShttps://www.kimkardashianwest.com/style/1339-kim-kardashian-yeezy-outfits/ …",1,0
55,"Kanye","9/6/2016","/KimKardashian/status/773269359066316801","Me & my mini me! #vetements #yeezyseason4clearmulespic.twitter.com/GY4QvP4lwB",0,1
56,"Saint","9/5/2016","/KimKardashian/status/772924277427408897","So ready for Saint Pablo tonight at MSGpic.twitter.com/MR2HqIcTKn",2,0
57,NA,"9/5/2016","/KimKardashian/status/772807409886695425","Wired  Mert & Marcuspic.twitter.com/BtHJDJ6N2S",0,0
58,NA,"9/5/2016","/KimKardashian/status/772763788714053632","Love finding pics like this in my phone! Shout out to Steph for taking it pic.twitter.com/HCFjVIH12H",2,1
59,NA,"9/3/2016","/KimKardashian/status/772281957438918656","I so want to post my Beauty Bloggers show presentation for you guys! I'm so extra hype about this! Gonna ask Lifetime if I can.",0,2
60,NA,"9/3/2016","/KimKardashian/status/772267105634881536","My sweet baby girl pic.twitter.com/TSweNvAJfi",1,0
61,NA,"9/3/2016","/KimKardashian/status/772153915760664577","Diet peach Snapple is my everything! Go figure I would love the peach  https://twitter.com/chrissyteigen/status/772153374506483713 …",3,1
62,NA,"9/1/2016","/KimKardashian/status/771499101439614982","I  my familypic.twitter.com/Cu2SOWRdvM",0,0
63,"Kourtney","8/31/2016","/KimKardashian/status/771074818363883521","Kourtney looks amazing!! @cosmopolitan @kourtneykardashpic.twitter.com/U7MTd4m04s",1,2
64,NA,"8/30/2016","/KimKardashian/status/770829815029043200","She designed her own dress today in her dad's office & is picking out fabrics tomorrow! She loves fashion!!!https://twitter.com/fashionista_com/status/770739141600505856 …",1,4
65,"North","8/30/2016","/KimKardashian/status/770637961092296705","YOU REALLY SHOULD… STEAL NORTH’S STYLEhttps://www.kimkardashianwest.com/style/1264-kim-kardashian-style-inspiration-north-west/ …",-1,0
65,"Kim","8/30/2016","/KimKardashian/status/770637961092296705","YOU REALLY SHOULD… STEAL NORTH’S STYLEhttps://www.kimkardashianwest.com/style/1264-kim-kardashian-style-inspiration-north-west/ …",-1,0
66,NA,"8/29/2016","/KimKardashian/status/770422690909982720","Date nightpic.twitter.com/Kw6fofa5bX",0,0
67,NA,"8/29/2016","/KimKardashian/status/770420676402548737","So happy I got to introduce my friend @britneyspears last night! I'm obsessed with #Glory. Go get the album! Let's #MakeBritneyNumberOne",2,2
68,NA,"8/29/2016","/KimKardashian/status/770401939867795461","Wet beachy glam last night #vmaspic.twitter.com/AkiEcmukez",0,0
69,"Kanye","8/29/2016","/KimKardashian/status/770392903793381376","Vintage Galliano & Kanye West x Jacob the Jeweler's new collection for the VMA'spic.twitter.com/oW9Hv5dWYK",0,0
70,NA,"8/29/2016","/KimKardashian/status/770383171984711680","Let's just go to the gym together! LOL I love you!!!! #YourMyMotivation -#BodyGoalshttps://twitter.com/teyanataylor/status/770288621454815232 …",1,5
71,NA,"8/29/2016","/KimKardashian/status/770292710112649216","I'm so happy we met!!! Can't wait to see you soon!https://twitter.com/simone_biles/status/770118544294043649 …",1,4
72,NA,"8/29/2016","/KimKardashian/status/770283461513019392","You guys!!! @TEYANATAYLOR has the best body ever!!! Like no joke and just had a baby!!!! ",1,10
73,NA,"8/29/2016","/KimKardashian/status/770282372768100352","Ok just woke up & watched the Fade video again for my Monday morning gym motivation. Thank you @TEYANATAYLOR ",1,0
74,"Kanye","8/29/2016","/KimKardashian/status/770275591992008704","MUSIC MONDAY: MY FAVE KANYE SONGShttps://www.kimkardashianwest.com/obsessed/1308-kim-kardashian-favorite-kanye-songs/ …",1,0
74,"Kim","8/29/2016","/KimKardashian/status/770275591992008704","MUSIC MONDAY: MY FAVE KANYE SONGShttps://www.kimkardashianwest.com/obsessed/1308-kim-kardashian-favorite-kanye-songs/ …",1,0
75,NA,"8/28/2016","/KimKardashian/status/769934430236450816","What color hair should I do for the #VMAs ????",0,0
76,NA,"8/28/2016","/KimKardashian/status/769934004095180800","OK I will take a poll, what should I wear tonight?",0,0
77,NA,"8/28/2016","/KimKardashian/status/769932956513239041","I am obsessed with my husband, but its not him #VMAs",0,0
78,NA,"8/28/2016","/KimKardashian/status/769931724759457792","And I see you guys guessing on who I am presenting....A little hint, it's someone i am obsessed with!!!! LIKE OBSESSED!!!!! #VMAs",1,9
79,NA,"8/27/2016","/KimKardashian/status/769760224869752834","Famous Exhibit at Blum & Poe Art Gallerypic.twitter.com/o1ZuqSCrOj",1,0
80,"Kim","8/27/2016","/KimKardashian/status/769653561592512513","I think Uber reached out to Kendall and fixed the issue!https://twitter.com/wannabelikekim/status/769653376393043968 …",0,1
80,"Kendall","8/27/2016","/KimKardashian/status/769653561592512513","I think Uber reached out to Kendall and fixed the issue!https://twitter.com/wannabelikekim/status/769653376393043968 …",0,1
81,"Kim","8/27/2016","/KimKardashian/status/769601878367858688","6 DAYS, 6 WAYS: OUR YEEZY BOOST 350 SNEAKERShttps://www.kimkardashianwest.com/style/1311-kim-kardashian-sisters-yeezy-boosts/ …",1,0
81,"Kanye","8/27/2016","/KimKardashian/status/769601878367858688","6 DAYS, 6 WAYS: OUR YEEZY BOOST 350 SNEAKERShttps://www.kimkardashianwest.com/style/1311-kim-kardashian-sisters-yeezy-boosts/ …",1,0
82,"Kendall","8/27/2016","/KimKardashian/status/769411462049648640","Ugh I have to drive @KendallJenner around tonight bc she's banned from Uber! Why @Uber?!?! She's a ""model"" passenger!!!!!",-1,8
83,"Kanye","8/26/2016","/KimKardashian/status/769362796010049536","Heading to a secret art gallery location to view Kanye's Famous Exhibition!!!!",1,4
84,NA,"8/25/2016","/KimKardashian/status/768973790420144129","I'm watching these beauty blogger audition tapes for my new show!!!! So many amazing people to choose from. This is going to be so much fun!",3,5
85,NA,"8/24/2016","/KimKardashian/status/768495573330718720","Lost files from Mexicopic.twitter.com/qW3lHr1sRt",-1,0
86,"Kim","8/24/2016","/KimKardashian/status/768464166818643969","BTS AT KANYE’S ‘FAMOUS’ VIDEO SCREENINGhttps://www.kimkardashianwest.com/behind-the-scenes/1298-kim-kardashian-kanye-famous-video-bts-photos/ …",1,0
86,"Kanye","8/24/2016","/KimKardashian/status/768464166818643969","BTS AT KANYE’S ‘FAMOUS’ VIDEO SCREENINGhttps://www.kimkardashianwest.com/behind-the-scenes/1298-kim-kardashian-kanye-famous-video-bts-photos/ …",1,0
87,NA,"8/23/2016","/KimKardashian/status/768106439923544064","Sign up now!! http://TheMasterClass.com pic.twitter.com/QUHdMbM0HD",0,2
88,NA,"8/23/2016","/KimKardashian/status/768059981971136513","I'm up so early. Do I workout or try to go back to sleep?",0,0
89,"Kylie","8/23/2016","/KimKardashian/status/768059780699070464","http://TheMasterClass.com  for tickets Oct 14! Our 1st sponsor is KYLIE COSMETICS! So everyone will get a free lip kit!pic.twitter.com/jOkb3I4YuV",0,3
90,NA,"8/22/2016","/KimKardashian/status/767934396854775809","GLOWpic.twitter.com/oUmpK24YbU",1,0
91,NA,"8/22/2016","/KimKardashian/status/767807490796904448","Excited to be partnering with @sugarbearhair to share their amazing hair vitamins with you! So delish!  #adpic.twitter.com/6ALBSzpZub",2,2
92,NA,"8/22/2016","/KimKardashian/status/767784312024342529","Selfish in Mexicopic.twitter.com/a6HlmTd6yI",-1,0
93,"Kendall","8/22/2016","/KimKardashian/status/767756872375869441","Werk @KendallJenner !!!!! #VogueJapanpic.twitter.com/ThEBjva1zr",0,5
94,"Kanye","8/22/2016","/KimKardashian/status/767738978569256960","5 DAYS, 5 WAYS: MY YEEZY BOOTShttps://www.kimkardashianwest.com/style/1281-kim-kardashian-yeezy-boots/ …",0,0
94,"Kim","8/22/2016","/KimKardashian/status/767738978569256960","5 DAYS, 5 WAYS: MY YEEZY BOOTShttps://www.kimkardashianwest.com/style/1281-kim-kardashian-yeezy-boots/ …",0,0
95,"Kim","8/22/2016","/KimKardashian/status/767592699075571712","Not much time left to get he Kimoji bike shorts, body suits and sweat shirts!!!!",0,4
96,"Kim","8/21/2016","/KimKardashian/status/767538543828664320","Only a few hours left for new #KIMOJIMERCH!!! http://store.kimkardashianwest.com pic.twitter.com/mXzW7z3kPH",0,3
97,NA,"8/21/2016","/KimKardashian/status/767526164818595840","#KUWTK starts now!!!!",0,4
98,"Kim","8/21/2016","/KimKardashian/status/767453945727950848","Last day to get the Kimoji Merch!!!! Bike shorts, bodysuits & sweatshirts! http://KimKardashianWest.com pic.twitter.com/ikUqhg44s8",0,5
99,"Kim","8/21/2016","/KimKardashian/status/767376975484846081","HOW TO WEAR OLYMPIC GOLD METALShttps://www.kimkardashianwest.com/beauty/1276-kim-kardashian-olympic-gold/ …",1,0
100,NA,"8/21/2016","/KimKardashian/status/767365891742773248","Beach selfies of course! pic.twitter.com/MqneRUVK7t",0,1
101,NA,"8/20/2016","/KimKardashian/status/767188078653956096","Nothing better than @realjoefrancis's house in Punta Mita! Thank you for the best memories! #CasaAramarapic.twitter.com/9Uki3Vemy4",3,2
102,NA,"8/20/2016","/KimKardashian/status/767010808979070977","In honor of @styledbyhrush birthday a month ago LOL she taught me how 2 twerk on this trip so I posting it for her pic.twitter.com/gSJZl1A2a3",1,0
103,"Kanye","8/19/2016","/KimKardashian/status/766851997324541952","Kanye's fave is the wave sweatshirt and hat https://twitter.com/markosto_/status/766851748384366592 …",1,0
104,"Kris","8/19/2016","/KimKardashian/status/766850962451410945","Goals afhttps://twitter.com/kristimedearis/status/766767168562270209 …",0,0
105,"Kim","8/19/2016","/KimKardashian/status/766753867409203201","New KIMOJI Merch available for just the weekend! http://KimKardashianWest.com  or my app! http://store.kimkardashianwest.com/ pic.twitter.com/9XryUi2UOd",1,2
106,NA,"8/19/2016","/KimKardashian/status/766708854319034368","A couple that trends merch together slays together! LOLpic.twitter.com/FNv7x8LuNp",0,1
107,"Kim","8/19/2016","/KimKardashian/status/766699206639661056","NEW #KIMOJIMERCH IS HERE! Shop bodysuits, bike shorts and sweatshirts but ONLY until Sunday night!!! http://store.kimkardashianwest.com ",0,4
108,NA,"8/19/2016","/KimKardashian/status/766501541293412352","Best trip ever! Follow me on snappic.twitter.com/mtxT6xtaxf",1,1
109,NA,"8/18/2016","/KimKardashian/status/766289415438266368","#TBT: CARNIVALE IN BRAZIL http://bit.ly/2bfz0sQ pic.twitter.com/M3Ym5FGV2B",0,0
110,NA,"8/17/2016","/KimKardashian/status/765957720562294784","On set yesterday pic.twitter.com/V9OKTONxY7",0,0
111,NA,"8/17/2016","/KimKardashian/status/765927094794813440","#FACTS: THE LATEST CRAZY HEADLINES: FACT OR FICTION? http://bit.ly/2blt6rk pic.twitter.com/Jt6zOIMvF4",0,0
112,NA,"8/16/2016","/KimKardashian/status/765729960992477184","Such a long work day today!!! What's everyone up to? I'm so tired",0,3
113,"Saint","8/16/2016","/KimKardashian/status/765564119579852800","The first Saint Pablo ticket contest is LIVE!!! http://bit.ly/2bu4t9v ",1,3
114,NA,"8/15/2016","/KimKardashian/status/765389620926418944","Todaypic.twitter.com/4f8ZcrlzZU",0,0
115,NA,"8/15/2016","/KimKardashian/status/765297339888087042","Gonna live steam & tell u all about my shoot",0,0
116,NA,"8/15/2016","/KimKardashian/status/765283907604393984","Didn't think it would happen this soon...my baby girl stealing my shoes. At least she has good taste #Balenciaga pic.twitter.com/vHhhw1KtIB",0,0
117,NA,"8/15/2016","/KimKardashian/status/765252309932617728","What's everyone up to today?",0,0
118,"North","8/15/2016","/KimKardashian/status/765217766785814528","NORTH’S FAVORITE SNACKShttp://bit.ly/2aJL6Mz ",0,0
119,NA,"8/15/2016","/KimKardashian/status/765202736891715584","MY MIDDLE SCHOOL GRADUATION VIDEO http://bit.ly/2b5RuMb pic.twitter.com/RGycW3QIiI",0,0
120,NA,"8/14/2016","/KimKardashian/status/765016714597715968","Paxy has been doing audio on KUWTK from the beginning & ok she might be one of my faves lol Congrats on !!!!pic.twitter.com/f14mmv9wts",0,4
121,NA,"8/13/2016","/KimKardashian/status/764671509331779584","Congrats to Erin & Stacy!!!pic.twitter.com/TaEYkvLMyV",0,3
122,"Kim","8/13/2016","/KimKardashian/status/764606366086418432","Omg we have them!!! Was trying to add a pic. They are so cute  https://twitter.com/kutienamekim/status/764605744717008896 …",1,3
123,"Saint","8/13/2016","/KimKardashian/status/764338085127557120","Here's a pic from my new edition of SELFISH out in October. How sweet is my Saint at 2 months old & my little Northpic.twitter.com/GhLxUH4Dbj",1,0
123,"North","8/13/2016","/KimKardashian/status/764338085127557120","Here's a pic from my new edition of SELFISH out in October. How sweet is my Saint at 2 months old & my little Northpic.twitter.com/GhLxUH4Dbj",1,0
124,"Kanye","8/12/2016","/KimKardashian/status/764116394296258561","There's still time to vote!! Vote for Kanye to win #VideooftheYear for FAMOUS at the #VMAs http://mtv.com/vma/vote/video …pic.twitter.com/VwcUxEmvrh",2,2
125,"Saint","8/12/2016","/KimKardashian/status/764114722534948864","I’M GIVING AWAY TICKETS TO THE SAINT PABLO TOUR!!!http://bit.ly/2b2lVmo ",1,3
126,NA,"8/12/2016","/KimKardashian/status/763978880529014788","New Selfish alert! 2 more chapters added! Dropping soon!pic.twitter.com/GiAYo6R4ts",-1,3
127,NA,"8/11/2016","/KimKardashian/status/763812747968733188","LOW-KEY CRUSH: SIMONE BILEShttp://bit.ly/2b4LX73 ",0,0
128,"Kendall","8/11/2016","/KimKardashian/status/763732481795166208","Sept Issue of Vogue @kendalljenner True fan girl moment seeing my sis achieve her goals to the highest #GenerationKpic.twitter.com/FQe0HibZGz",-1,0
128,"Kris","8/11/2016","/KimKardashian/status/763732481795166208","Sept Issue of Vogue @kendalljenner True fan girl moment seeing my sis achieve her goals to the highest #GenerationKpic.twitter.com/FQe0HibZGz",-1,0
129,"Kylie","8/10/2016","/KimKardashian/status/763488713661747201","WHY KYLIE AND I GET ALONG SO WELLhttp://bit.ly/2aJPBnk ",0,0
130,"Kylie","8/10/2016","/KimKardashian/status/763398390684250112","KIMOJI KYLIE PHONE CASES AVAILABLE ONLY TODAY FOR HER BDAY!!! http://bit.ly/2aLHYB7 ",1,3
130,"Kim","8/10/2016","/KimKardashian/status/763398390684250112","KIMOJI KYLIE PHONE CASES AVAILABLE ONLY TODAY FOR HER BDAY!!! http://bit.ly/2aLHYB7 ",1,3
131,NA,"8/9/2016","/KimKardashian/status/763027811238109184","HOW TO CLAP BACK WITH JONATHAN CHEBAN http://bit.ly/2aGEtbd pic.twitter.com/494QuPl8Kq",0,0
132,NA,"8/8/2016","/KimKardashian/status/762867277477797888","MET night vibes all on my app! Exclusive pics while getting ready!pic.twitter.com/qabrFR2t2f",1,2
133,NA,"8/8/2016","/KimKardashian/status/762694967705743360","So excited to go to Dubai in October for the master class with @MakeupByMario Its both of our birthday month too so we have to celebrate!",3,1
134,NA,"8/8/2016","/KimKardashian/status/762694534207680513"," Dubai we're coming pic.twitter.com/MchARWzJBe",0,0
135,"North","8/7/2016","/KimKardashian/status/762499291818569728","North is watching @Simone_Biles in awe! She's rolling around on the bed pretending to copy her lol",1,1
136,NA,"8/7/2016","/KimKardashian/status/762498517550051330","Women's gymnastics is amazing! Who's watching the Olympics? I remember going to see this sport at the Atlanta Olympics!",1,2
137,NA,"8/7/2016","/KimKardashian/status/762459027649343488","he really is! I'm so luckyhttps://twitter.com/_yuliyaa/status/762456735013441536 …",0,1
138,NA,"8/7/2016","/KimKardashian/status/762458832656150528","but then randomly i love a fun night in vegas and if i have a drink i can dance all night & its the best night!",2,1
139,NA,"8/7/2016","/KimKardashian/status/762458716297760770","i don't know why I hate to dance so much! its really a mystery! i like shake inside when i have to",-2,2
140,"Kanye","8/7/2016","/KimKardashian/status/762458007078772736","this was my fave part!https://twitter.com/TeamKanyeDaily/status/762454015359586305 …",1,1
141,"North","8/7/2016","/KimKardashian/status/762456904077410306","how cute are north and p dancing!?!",1,2
142,NA,"8/7/2016","/KimKardashian/status/762455199818522624","i love being surprised & seeing what my other family members are filming when I'm not therehttps://twitter.com/KylizzleKouture/status/762454666638528513 …",1,0
143,NA,"8/7/2016","/KimKardashian/status/762453688749137923","Tune into Keeping Up With the Kardashians now!",0,1
144,"Kim","8/7/2016","/KimKardashian/status/762442245156974594","Good thing she's afraid of spiders just like me! Maybe she sees me jump & scream so it rubbed off on herhttps://twitter.com/ultimatekimk/status/762439406615531520 …",0,1
145,"Kim","8/7/2016","/KimKardashian/status/762441946077855745","This pin, not so much! lol #KimojiMerch http://store.kimkardashianwest.com/ pic.twitter.com/5640S7Vpgo",0,1
146,"Kim","8/7/2016","/KimKardashian/status/762441771469017088","This KIMOJI pin I will for sure put on North's jean jacket http://store.kimkardashianwest.com/ pic.twitter.com/yZeNC8dfBR",0,0
146,"North","8/7/2016","/KimKardashian/status/762441771469017088","This KIMOJI pin I will for sure put on North's jean jacket http://store.kimkardashianwest.com/ pic.twitter.com/yZeNC8dfBR",0,0
147,"Kim","8/7/2016","/KimKardashian/status/762441559363104768","Love this KIMOJI! I use it to call someone a liar! LOL Love all of the KIMOJI pins! http://store.kimkardashianwest.com/ pic.twitter.com/MBPut49m98",1,3
148,NA,"8/7/2016","/KimKardashian/status/762439312449298432","I'm not a big drinker but the sangria there was everything!https://twitter.com/MolestMeKardash/status/762415455554371584 …",0,1
149,NA,"8/7/2016","/KimKardashian/status/762411947945930752","In honor of our Cuba episode tonight I'm ordering in Cuban food & watching with you guys #KUWTK",1,0
150,"Kim","8/6/2016","/KimKardashian/status/762018431201796097","between 8-9 million https://twitter.com/KutieNameKim/status/761970303056478208 …",0,0
151,"Kim","8/5/2016","/KimKardashian/status/761786591048142848","Love these KIMOJI stickers! http://store.kimkardashianwest.com/ pic.twitter.com/8rANxnPM7u",1,1
152,"Kim","8/5/2016","/KimKardashian/status/761783997340848130","We ship internationally now! #KimojiMerch Go on my app of http://KimKardashianWest.com pic.twitter.com/9Jni2Ahn2t",0,1
153,NA,"8/5/2016","/KimKardashian/status/761783724530774017","Savagepic.twitter.com/XXTj6dnww3",-1,0
154,"Kim","8/5/2016","/KimKardashian/status/761783584931786752","Who got KIMOJI merch???pic.twitter.com/a1vOZpKWed",0,0
155,NA,"8/5/2016","/KimKardashian/status/761680021534547968","Thank you!https://twitter.com/girlbosswoo/status/761665460072960000 …",1,1
156,"Kim","8/5/2016","/KimKardashian/status/761679002406883328","Now if you asked me to dance... I would cry and run away!  https://twitter.com/kutienamekim/status/761657765374812162 …",-1,1
157,NA,"8/5/2016","/KimKardashian/status/761676569102327808","Thank you to everyone who attended the conference today! I loved talking to you all!https://twitter.com/librawhite/status/761672299070095360 …",2,2
158,NA,"8/5/2016","/KimKardashian/status/761645423933087744","She just started gymnastics! Maybe she can show you some moves?https://twitter.com/simone_biles/status/761641420721680385 …",0,1
159,"Kim","8/5/2016","/KimKardashian/status/761604578966069248","New KIMOJI merch dropping today!!! International shipping just added! http://KimKardashianWest.com pic.twitter.com/YiB2UFsBx3",0,4
160,NA,"8/4/2016","/KimKardashian/status/761370761403609088","She really is the best!!! she understands my painhttps://twitter.com/smiles_deanna19/status/761366440607748096 …",1,3
161,NA,"8/4/2016","/KimKardashian/status/761318719909875714","International shipping now added!!!https://twitter.com/kkwjenner/status/761297983724019712 …",0,3
